space_id,space_name,library_id,library,school_or_unit,floor,room_type,seats,noise_level_code,noise_level,reservable,open_space,booking_url,contact_available,description,notes,image_url,image_count,accessible,charging,cafe_onsite,conversation_areas,couches_arm_chairs,food_drink_allowed,lockers,media_studios,printers_scanners_copiers,private_desks,projector_digital_display,quiet_study_areas,reservable_space_amenity,single_stall_restrooms,special_collections_archives,standing_desks,tech_loan,webcam,whiteboards_chalkboards,feature_count,latitude,longitude,library_address,snapshot_hours,library_url,source_url,accessed_date
521,HBS Stacks,231,Baker Library and Special Collections,Harvard Business School,Third Floor,Open Space,24,1,Whispers,0,1,,0,"The Baker Stacks fit 24 comfortably around a large table and individual study carrels. This quiet space is located in Baker Library's basement and receives little natural light. To help preserve the collections, this area is maintained at a fairly low temperature - 68°F.","The Baker Stacks are accessible through the Baker Stamps Reading Room, which is located on the third floor. This area is maintained at 68°F for preservation purposes. ♿ This room is accessible for people using wheelchairs or other mobility devices. Find more details about accessible building information on the Harvard accessibility map .",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-10/HBS%20Stacks%20Long%20Table.jpg,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,42.366412,-71.122798,"Soldiers Field Road, Boston, MA, 02163",9am - 5pm,https://www.library.hbs.edu/,https://library.harvard.edu/spaces?room=521,2026-09-21
526,HBS Stamps Reading Room,231,Baker Library and Special Collections,Harvard Business School,Third Floor,Open Space,178,1,Whispers,0,1,,0,"The Stamps Reading Room fits 178 comfortably around large tables, partitioned study carrels, soft-seating, and public computers. This light-filled space is conducive to individual study.",♿ This room is accessible for people using wheelchairs or other mobility devices. Find more details about accessible building information on the Harvard accessibility map.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-10/HBS%20Stamps%20Reading%20Room%20Study%20Nook.jpg,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,42.366412,-71.122798,"Soldiers Field Road, Boston, MA, 02163",9am - 5pm,https://www.library.hbs.edu/,https://library.harvard.edu/spaces?room=526,2026-09-21
531,HBS Stamps Reading Room Annex,231,Baker Library and Special Collections,Harvard Business School,Third Floor,Open Space,35,1,Whispers,0,1,,0,The Stamps Reading Room Annex fits 35 comfortably around group tables. This light-filled space promotes group study with the help of movable furniture and multi-laptop access to the digital display.,The Stamps Reading Room's Annex is well suited for group study and chatter. A hot water dispenser is located in the Stamps Reading Room's Annex. ♿ This room is accessible for people using wheelchairs or other mobility devices. Find more details about accessible building information on the Harvard accessibility map .,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-10/HBS%20Stamps%20Reading%20Room%20Annex%20Group%20Study.jpg,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,42.366412,-71.122798,"Soldiers Field Road, Boston, MA, 02163",9am - 5pm,https://www.library.hbs.edu/,https://library.harvard.edu/spaces?room=531,2026-09-21
456,Botany Libraries Main Reading Room,671,Botany Libraries,,Second Floor,Open Space,20,1,Whispers,0,1,,0,The Main Reading Room fits 20 comfortably around a series of group tables and public computers. This space is conducive to both individual and quiet group study.,♿ This room is accessible for people using wheelchairs or other mobility devices. Find more details about accessible building information on the Harvard accessibility map .,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-08/Botany%20Libraries%20Main%20Reading%20Room1.jpg,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,42.379074,-71.11467,"22 Divinity Avenue, Cambridge, MA, 02138",9am - 5pm,https://huh.harvard.edu/botanylibraries,https://library.harvard.edu/spaces?room=456,2026-09-21
386,Cabot L102 - Discovery Bar,131,Cabot Science Library,,Main Level,Meeting and Presentation Space,10,2,Chatter,1,1,,1,"The Discovery Bar is a flexible serpentine table, which can be used for a variety of technology demonstrations and/or displays. It includes two projectors and large screens - allowing input from several sources (the resident computer or personal devices). The Discovery Bar is a great place to present and promote library, technology, and research projects.","There is one floor outlet in this space. Students are welcome to use the Discovery Bar as a standing desk when there is not an event or activity. The Discovery Bar is not a quiet presentation space. Presenters should be prepared for a certain amount of noise from patrons entering and exiting the library as well as from the adjacent Clover café. ♿This room is wheelchair accessible. Find out more information on accessible building entrances and paths . This room can be requested by filling out this form . Cabot Library encourages individuals with disabilities to participate in its programs and activities. If you anticipate needing any type of accommodation or have questions about the physical access provided, please contact cablib@fas.harvard.edu .",https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-06/Cabot%20Library-PeterVanderwarker-40-X3.jpg,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=386,2026-09-21
381,Cabot L103 - The Ice Cube,131,Cabot Science Library,,Main Level,Group Study Room,4,2,Chatter,1,0,https://libcal.library.harvard.edu/space/16712,1,"The Ice Cube, aka the Consultation Room, is a great location to meet for individual and small group assistance from a librarian, technical specialist, or a representative from our program partners. It seats up to four people at a round table. It may be utilized together with the Discovery Bar to display a related slide, video, etc. drawing the public’s attention to a more hands-on drop-in session in the Ice Cube.",There is one floor outlet. Students are welcome to use the space when empty - with the knowledge that those with reservations have precedence. Library staff may schedule individual and small-group consultations in the Ice Cube by by reserving the space.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-06/Cabot%20L103%20Consultation%20Room%3AIce%20Cube_0.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=381,2026-09-21
61,Cabot L107 — Video Conference Room,131,Cabot Science Library,,Main Level,Meeting and Presentation Space,10,2,Chatter,1,0,https://libcal.library.harvard.edu/space/16680,1,"The Video Conference Room fits 10 comfortably around a rectangular table. It features two large screens and a video camera, which support live interaction with remote locations. This work space is perfect for folks who need technological support to get their work done and will not get easily distracted by the glass walls.",There are four outlets. The in-room computer is a Mac mini. A computer can be connected to the display via AirMedia or cables. Display cables and dongles are available to check out at Cabot's Ask Us desk. Students are welcome to use the space when empty — with the knowledge that those with reservations have precedence. Additional chairs are available nearby for use as needed.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-03/Cabot-L107-VideoConference-01.jpg,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=61,2026-09-21
71,Cabot L202 — Group Study Room,131,Cabot Science Library,,Second Floor,Group Study Room,4,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/202,1,"This group study room fits four comfortably around a rectangular table. It has a lot of natural light and is located on Cabot's second floor. The room features movable furniture and a chalkboard. It is most suitable for work that is largely non-electronic (ex. PSETs, meetings).",There is one electrical outlet. Students are welcome to use the space when empty -- with the knowledge that those with reservations have precedence.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/Cabot%20L202%20-%20Inside%20View.jpg,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=71,2026-09-21
81,Cabot L210 — Group Study Room,131,Cabot Science Library,,Second Floor,Group Study Room,6,2,Chatter,0,0,https://libcal.library.harvard.edu/reserve/groupstudy/210,0,"This group study room fits six comfortably. It features a large table, and a chalkboard. Cabot L210 is one of the larger group study rooms in Cabot.",There are two outlets. Students are welcome to use the space when empty -- with the knowledge that those with reservations have precedence.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-04/Cabot%20L210%20-%20Outside%20View.jpg,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=81,2026-09-21
146,Cabot L211 — Group Study Room,131,Cabot Science Library,,Second Floor,Group Study Room,6,2,Chatter,1,0,https://libcal.library.harvard.edu/reserve/groupstudy/211,0,"This group study room fits four comfortably around a rectangular table. It features a chalkboard. and receives lots of natural light. It is most suitable for work that is largely non-electronic (ex. PSETs, meetings).",There are two outlets. Students are welcome to use the space when empty -- with the knowledge that those with reservations have precedence.,https://library.harvard.edu/sites/default/files/spacefinder/rooms/2018-06/Cabot%20L210%20-%20Inside%20View%202.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,42.376237,-71.11624,"1 Oxford Street, Cambridge, MA, 02138",24 Hours,/libraries/cabot,https://library.harvard.edu/spaces?room=146,2026-09-21
